iter	Logloss
0	0.5961940655
1	0.5190674081
2	0.4318148091
3	0.3766545041
4	0.3433693773
5	0.3138037264
6	0.2925677332
7	0.2774048316
8	0.2566119321
9	0.2408999137
10	0.2276839385
11	0.2170738523
12	0.2106543624
13	0.2032978304
14	0.1976807037
15	0.1934388325
16	0.1883822678
17	0.1838984335
18	0.179711505
19	0.1772085399
20	0.1729803578
21	0.1703240603
22	0.1676203138
23	0.1647720523
24	0.1625605808
25	0.15951319
26	0.1566890591
27	0.1548363652
28	0.1527269952
29	0.1510120168
30	0.1496005378
31	0.1486723637
32	0.1477450666
33	0.1469208563
34	0.1459828227
35	0.1453432623
36	0.1443108371
37	0.1433883895
38	0.1424872034
39	0.1416477509
40	0.1407351497
41	0.1397708906
42	0.1388579602
43	0.137812714
44	0.1371537719
45	0.1364434344
46	0.1362240114
47	0.1356508339
48	0.135236939
49	0.1345567596
50	0.1339662541
51	0.1330318964
52	0.1321620348
53	0.13179521
54	0.1313462484
55	0.1310729156
56	0.1304375716
57	0.1298701292
58	0.1288531578
59	0.1285358911
60	0.1281747004
61	0.1276924142
62	0.1273501573
63	0.1267176291
64	0.126329427
65	0.1259893866
66	0.1254745661
67	0.1252426755
68	0.1246431601
69	0.1242691183
70	0.1235680334
71	0.1233057951
72	0.1226671603
73	0.1222991566
74	0.1217543711
75	0.1211432609
76	0.1208844175
77	0.1205099515
78	0.1201242582
79	0.1195642082
80	0.1193472107
81	0.1191029955
82	0.1188130415
83	0.1184391605
84	0.1181056793
85	0.1178460394
86	0.1173763093
87	0.1170824979
88	0.1168338088
89	0.1165564212
90	0.1164149328
91	0.1161016396
92	0.1157948579
93	0.1155994643
94	0.1152901863
95	0.1151549655
96	0.1147734665
97	0.1143643394
98	0.1142382275
99	0.1137149851
100	0.1133924834
101	0.1129781299
102	0.1128150281
103	0.1125682297
104	0.1124743746
105	0.1122326719
106	0.1121056417
107	0.111872491
108	0.1116760941
109	0.1115159337
110	0.111041975
111	0.1108925614
112	0.1105304267
113	0.1103650831
114	0.1101936027
115	0.1098175084
116	0.1096489953
117	0.1094613786
118	0.1092531124
119	0.1091475928
120	0.1090486815
121	0.1089746961
122	0.1088328058
123	0.1087651002
124	0.1086727324
125	0.1079149988
126	0.107783395
127	0.1075790787
128	0.1071883526
129	0.1069686822
130	0.1067343665
131	0.1066624615
132	0.1064991452
133	0.1062948716
134	0.1062036667
135	0.1060292871
136	0.1058516679
137	0.1057769075
138	0.1054143892
139	0.1051671117
140	0.1051099062
141	0.1047744067
142	0.1047314462
143	0.1043400512
144	0.1041676993
145	0.1039889928
146	0.103897738
147	0.1037851801
148	0.103521199
149	0.1033041668
150	0.1031903853
151	0.1031517286
152	0.1029953659
153	0.1027781284
154	0.1026509699
155	0.1025765361
156	0.1025239154
157	0.1023696829
158	0.1022435751
159	0.10208063
160	0.1016121896
161	0.101492499
162	0.1013912512
163	0.101283276
164	0.1011997934
165	0.101178679
166	0.1010485307
167	0.1010028528
168	0.1008384413
169	0.1007272286
170	0.1005733466
171	0.1004575396
172	0.1002929501
173	0.1001136956
174	0.09998210682
175	0.09970844707
176	0.09955016386
177	0.09938176821
178	0.09926154347
179	0.09918646253
180	0.09913211643
181	0.09905509156
182	0.09881939598
183	0.09875680203
184	0.09870473765
185	0.09865850117
186	0.09854451477
187	0.09846505153
188	0.09838238824
189	0.09829978457
190	0.09825219024
191	0.09818332903
192	0.09795795298
193	0.09785259843
194	0.09777235397
195	0.097703228
196	0.09759993951
197	0.09753160797
198	0.09750272287
199	0.09739735697
200	0.09721736448
201	0.09714371161
202	0.09696069824
203	0.09677212005
204	0.0966741106
205	0.09660881018
206	0.09649909004
207	0.09641772958
208	0.09636011014
209	0.09623267867
210	0.09606056929
211	0.09598064908
212	0.0959516098
213	0.09579759925
214	0.09570120377
215	0.09561062235
216	0.09549593921
217	0.09537367843
218	0.09534456494
219	0.0951687186
220	0.09510580448
221	0.09502278853
222	0.09496237117
223	0.09492789954
224	0.0946701482
225	0.09457274208
226	0.09444490212
227	0.09417561254
228	0.09405712976
229	0.09401344438
230	0.09397493752
231	0.0939142161
232	0.09381174274
233	0.09377720214
234	0.09375577856
235	0.09364047835
236	0.09355153892
237	0.09352255235
238	0.09347774399
239	0.09337253264
240	0.09321312242
241	0.09312537303
242	0.09310721885
243	0.09304051762
244	0.09298651446
245	0.09295368885
246	0.09282475045
247	0.09274956797
248	0.09271784011
249	0.09255866559
250	0.09251904828
251	0.09248633843
252	0.09245149946
253	0.0923781428
254	0.09229280201
255	0.09225256802
256	0.09221034738
257	0.09214225732
258	0.09195523208
259	0.09191010917
260	0.09182751707
261	0.0917858493
262	0.0916561006
263	0.09160744891
264	0.09154160669
265	0.09141792301
266	0.09140570954
267	0.09132331336
268	0.09128487874
269	0.09118860593
270	0.09114145449
271	0.09105534082
272	0.09099244021
273	0.09097606428
274	0.09094526315
275	0.09092253991
276	0.09089845451
277	0.09083319903
278	0.09080532176
279	0.09076504606
280	0.09072012308
281	0.09065062242
282	0.09061207252
283	0.09051223079
284	0.09045661672
285	0.09039837389
286	0.09025761756
287	0.09022032679
288	0.09014370283
289	0.09009043095
290	0.09007652842
291	0.08999365266
292	0.08995126231
293	0.08991183692
294	0.08983857946
295	0.08972241261
296	0.08965997487
297	0.08959546811
298	0.089493378
299	0.08939461721
300	0.08934693584
301	0.08929790666
302	0.08923508071
303	0.08909085385
304	0.08900540675
305	0.08894600928
306	0.08893618751
307	0.08890722673
308	0.08885826947
309	0.08877610458
310	0.08871442689
311	0.08868752305
312	0.08865597087
313	0.08861491287
314	0.08858759874
315	0.08853304962
316	0.08848988114
317	0.08839252872
318	0.08837589356
319	0.08831274376
320	0.08823135608
321	0.08818336122
322	0.08816006824
323	0.08800836486
324	0.0879510578
325	0.08774762138
326	0.08766875046
327	0.08763263384
328	0.08761150596
329	0.08749722624
330	0.08743512494
331	0.08737595734
332	0.08732767149
333	0.08725659379
334	0.08723646954
335	0.08715522295
336	0.0871190901
337	0.08700608792
338	0.08700054836
339	0.08696342249
340	0.08691440115
341	0.08687874538
342	0.08682729543
343	0.08677818647
344	0.08671975996
345	0.08670038775
346	0.08666313648
347	0.08663545359
348	0.08656887098
349	0.0865423833
350	0.08651473222
351	0.08646722301
352	0.08638999659
353	0.08635267065
354	0.0863209567
355	0.08628396334
356	0.08622496746
357	0.08620849645
358	0.08612440874
359	0.08603689362
360	0.08592361383
361	0.08588058571
362	0.08584674084
363	0.08574020177
364	0.08568454939
365	0.08565559102
366	0.08563654913
367	0.08562310136
368	0.08561465508
369	0.08557451466
370	0.085546279
371	0.0855166344
372	0.08543733721
373	0.08535528519
374	0.08531020537
375	0.08527403834
376	0.08525280941
377	0.08519472538
378	0.08512125476
379	0.08509644005
380	0.0850321162
381	0.08501599134
382	0.08494188232
383	0.08492309148
384	0.08488468516
385	0.08483414606
386	0.08479025284
