iter	Passed	Remaining
0	168	168392
1	188	94089
2	212	70621
3	237	59080
4	254	50682
5	275	45565
6	292	41497
7	310	38464
8	328	36176
9	345	34226
10	365	32865
11	385	31774
12	405	30753
13	422	29782
14	441	29010
15	461	28398
16	482	27883
17	503	27472
18	522	26978
19	540	26470
20	556	25921
21	573	25512
22	590	25083
23	608	24730
24	625	24407
25	644	24152
26	666	24003
27	688	23902
28	707	23704
29	725	23449
30	743	23233
31	760	23001
32	777	22777
33	795	22611
34	815	22473
35	832	22281
36	849	22122
37	867	21952
38	887	21862
39	904	21698
40	921	21543
41	938	21399
42	955	21268
43	975	21187
44	993	21078
45	1010	20952
46	1026	20823
47	1043	20695
48	1061	20594
49	1079	20503
50	1095	20388
51	1112	20283
52	1131	20225
53	1149	20132
54	1165	20021
55	1183	19944
56	1197	19816
57	1211	19684
58	1226	19561
59	1244	19493
60	1263	19452
61	1279	19351
62	1295	19268
63	1314	19228
64	1332	19165
65	1349	19097
66	1367	19048
67	1383	18960
68	1397	18851
69	1412	18766
70	1427	18679
71	1442	18587
72	1458	18526
73	1473	18433
74	1490	18380
75	1505	18304
76	1521	18240
77	1538	18180
78	1555	18129
79	1572	18084
80	1590	18043
81	1603	17956
82	1619	17890
83	1634	17825
84	1653	17798
85	1668	17735
86	1683	17666
87	1699	17611
88	1717	17579
89	1733	17529
90	1751	17497
91	1770	17471
92	1786	17426
93	1803	17379
94	1819	17335
95	1836	17291
96	1851	17233
97	1866	17183
98	1883	17140
99	1898	17089
100	1918	17072
101	1934	17030
102	1951	16992
103	1969	16964
104	1987	16944
105	2003	16899
106	2021	16870
107	2036	16817
108	2054	16794
109	2069	16742
110	2088	16723
111	2103	16674
112	2117	16624
113	2134	16585
114	2149	16543
115	2167	16514
116	2186	16499
117	2201	16458
118	2219	16429
119	2236	16401
120	2250	16352
121	2268	16322
122	2286	16301
123	2301	16257
124	2318	16226
125	2333	16188
126	2349	16151
127	2365	16113
128	2383	16094
129	2398	16053
130	2413	16012
131	2432	15993
132	2446	15948
133	2461	15904
134	2478	15878
